title,disambiguate,slug,slug-old,sort-title,group-by,authors,original,lyrics
Into The Fold,,into-the-fold,into-the-fold,INTO THE FOLD,I,,,"we'll your face is flushed<br />and your eyes are closin'<br />and your girldfriend has just walked out<br />and you're gettin' no respect<br />and you sold your favourite records<br />and you sold mine too<br />and you haven't got a nickle<br />and you havent got a clue<br /><br />are you comin' back<br />are you comin' back<br />back into the fold<br />back into the fold<br /><br />well, you knoww i ain't no mystic<br />but i'm wrapped up in your life<br />and i won't ask silly questions<br />'cause i can't stand the lies<br /><br />are you comin' back<br />are you comin' back<br />back into the fold<br />back into the fold<br /><br />are you comin' back<br />are you comin' back"
Invincible,,invincible,invincible,INVINCIBLE,I,Krukowski/Yang,,
Isn't A Way,,isnt-a-way,isn-t-a-way,ISN'T A WAY,I,,,
Isn't it a Pity,,isnt-it-a-pity,isn-t-it-a-pity,ISN'T IT A PITY,I,George Harrison,"Harrison, George",Isn't it a pity<br />Isn't it a shame<br />How we break each other's hearts<br />And cause each other pain?<br />How we take each other's love<br />Without thinking anymore<br />Forgetting to give back<br />Isn't it a pity?<br /><br />Some things take so long<br />And how do I explain?<br />But not too many people<br />Can see we're all the same<br />And because of all their tears<br />Their eyes can't hope to see<br />The beauty that surrounds them<br />Oh isn't it a pity?<br /><br />Isn't it a pity<br />Isn't it a shame<br />How we break each other's hearts<br />And cause each other pain?<br />How we take each other's love<br />Without thinking anymore<br />Forgetting to give back<br />Isn't it a pity?<br /><br />Forgetting to give back<br />Isn't it a pity?<br />Forgetting to give back<br />Isn't it a pity?<br /><br />What a pity
It Don't Rain in Beverly Hills,,it-dont-rain-in-beverly-hills,it-don-t-rain-in-beverly-hills,IT DON'T RAIN,I,,,
It's All Over Now Baby Blue,,its-all-over-now-baby-blue,it-s-all-over-now-baby-blue,IT'S ALL OVER NOW BABY BLUE,I,Bob Dylan,"Dylan, Bob","You must leave now, take what you need, you think will last.<br />But whatever you wish to keep, you better grab it fast.<br />Yonder stands your orphan with his gun,<br />Crying like a fire in the sun.<br />Look out the saints are comin' through<br />And it's all over now, Baby Blue.<br /><br />The highway is for gamblers, better use your sense.<br />Take what you have gathered from coincidence.<br />The empty-handed painter from your streets<br />Is drawing crazy patterns on your sheets.<br />This sky, too, is folding under you<br />And it's all over now, Baby Blue.<br /><br />All your seasick sailors, they are rowing home.<br />All your reindeer armies, are all going home.<br />The lover who just walked out your door<br />Has taken all his blankets from the floor.<br />The carpet, too, is moving under you<br />And it's all over now, Baby Blue.<br /><br />Leave your stepping stones behind, something calls for you.<br />Forget the dead you've left, they will not follow you.<br />The vagabond who's rapping at your door<br />Is standing in the clothes that you once wore.<br />Strike another match, go start anew<br />And it's all over now, Baby Blue."
It's Bringing You Down,,its-bringing-you-down,it-s-bringing-you-down,IT'S BRINGING YOU DOWN,I,,,the speed that you're takin'<br />is slowin' you down<br />you said you were leavin'<br />but you're stickin' around<br />i 'member you fallin'<br />fallin' flat on your face<br />bloodstains on snowflakes<br />what a terrible place<br /><br />do you feel this pleasure<br />so quit yer complaining<br />can't wait forever<br />so get on with it please<br />thanks for a flame<br />that will never expire<br />can't wait forever<br />get on with it please<br /><br />i'm tired of talkin'<br />i'll know what they'll say to me<br />you don't know the difference between work and play<br />i say thanks for the flame that will never expire<br />you can't wait forever<br />get on with it please
It's Getting Late,,its-getting-late,it-s-getting-late,IT'S GETTING LATE,I,Krukowski/Wareham/Yang,,"and it's getting late now<br />everything is spent now<br />wonder where it went now<br />never get to sleep now<br /><br />now you're looking sorry<br />told me not to worry<br />no, you shouldn't do that<br />no, you shouldn't do that"
It's Over,,its-over,it-s-over,IT'S OVER,I,Krukowski/Yang,,
Je T'aime (I Wanna Boogie With You),,je-taime-i-wanna-boogie-with-you,je-t-aime-i-wanna-boogie-with-you,JE T'AIME (I WANNA BOOGIE WITH YOU),J,Serge Gainsbourg (Reed/Fonfara),Serge Gainsbourg and Jane Birkin,
Jealous Guy,,jealous-guy,jealous-guy,JEALOUS GUY,J,John Lennon,John Lennon,"I was dreaming of the past.<br />And my heart was beating fast,<br />I began to lose control,<br />I began to lose control,<br /><br />I didn't mean to hurt you,<br />I'm sorry that I mad you cry,<br />I didn't want to hurt you,<br />I'm just a jealous guy,<br /><br />I was feeling insecure,<br />You night not love me any more,<br /><br />I was shivering inside,<br />I was shivering inside,<br /><br />I was trying to catch your eyes,<br />Thought that you were trying to hide,<br />I was swallowing my pain,<br />I was swallowing my pain."
Jerome,,jerome,jerome,JEROME,J,Krukowski/Wareham/Yang,,
Jonathan and Charles,,jonathan-and-charles,jonathan-and-charles,JONATHAN AND CHARLES,J,,,
Judah and the Maccabees,,judah-and-the-maccabees,judah-and-the-maccabees,JUDAH AND THE MACCABEES,J,,,
Just as Much as It Was Worth,,just-as-much-as-it-was-worth,just-as-much-as-its-worth,JUST AS MUCH AS ITS WORTH,J,Dean Wareham,,
Just My Imagination (Running Away With Me),,just-my-imagination-running-away-with-me,just-my-imagination-running-away-with-me,JUST MY IMAGINATION,J,Whitfield/Strong,The Temptations,
Kalamazoo,,kalamazoo,kalamazoo,KALAMAZOO,K,,,well the week is to short<br />but the days is so long<br />livin' with sick people<br />makes me feel so strong<br />and as the sun peaks in<br />on an afternoon drunk<br />all the green green bottles<br />but it won't last forever<br /><br />nim-nee nim-nee nim-nee wah...<br />nim-nee nim-nee nim-nee hey-ooo...<br />nim-nee nim-nee nim-nee wah...<br />nim-nee nim-nee nim-nee hey...<br /><br />well if the war is over<br />and the monsters have won<br />if the war is over<br />i'm gonna have some fun<br />and as the sun peaks in<br />on an afternoon drunk<br />all the green green bottles<br />but it won't last forever<br /><br />nim-nee nim-nee nim-nee wah...<br />nim-nee nim-nee nim-nee hey-ooo...<br />nim-nee nim-nee nim-nee wah...<br />nim-nee nim-nee nim-nee hey...
Kill For Peace,,kill-for-peace,kill-for-peace,KILL FOR PEACE,K,Kupferberg,Fuggs,"Kill, kill, kill for peace<br />Kill, kill, kill for peace<br />Near or middle or very far east<br />Far or near or very middle east<br /><br />Kill, kill, kill for peace<br />Kill, kill, kill for peace<br />If you don't like the people or the way that they talk<br />If you don't like their manners or they way that they walk,<br /><br />Kill, kill, kill for peace<br />Kill, kill, kill for peace<br />If you don't kill them then the Chinese will<br />If you don't want America to play second fiddle<br /><br />Kill, kill, kill for peace<br />Kill, kill, kill for peace<br />If you let them live they might support the Russians<br />If you let them live they might love the Russians<br /><br />Kill, kill, kill for peace<br />Kill, kill, kill for peace<br />Kill 'em, kill 'em, strafe those gook creeps!<br />The only gook an American can trust Is a gook that's got<br />his yellow head bust.<br /><br />Kill, kill, kill for peace<br />Kill, kill, kill for peace<br />Kill, kill, it'll feel so good<br />like my captain said it should<br /><br />Kill, kill, kill for peace<br />Kill, kill, kill for peace<br />Kill it will give you a mental ease<br />kill it will give you a big release<br />Kill, kill, kill for peace<br />Kill, kill, kill for peace<br /><br />Kill, kill, kill for peace<br />Kill, kill, kill for peace"
Kinetoscope,,kinetoscope,kinetoscope,KINETOSCOPE,K,,,
King of Spain,,king-of-spain,king-of-spain,KING OF SPAIN,K,Krukowski/Wareham/Yang,,"You know I am the King of Spain<br />And I know that you can never tear me apart again<br />The empty halls I roam around<br />And my friends don't understand I'll never lose again<br /><br />You know I am the King of Spain<br />Yeah and I know that you can never bring me down again<br />Oh yeah I am the King of Spain<br />Yeah and I know that you can never tear me<br /><br />Well, I'm the King of Spain, I'm smilin to<br />myself I'm laughin out aloud, I'll never cry again<br />No, I'm the King of Spain, I'm smilin to myself<br />They play my favorite song, I'll never cry again<br /><br />You know I am the King of Spain<br />And I know that you will never bring me down again<br />Oh yeah I am the King of Spain<br />Yeah and I know that you can never tear me<br /><br />No I'm the King of Spain, I'm smiling to myself<br />I'm laughin out aloud, I'll never cry again<br />Yeah I'm the King of Spain, I'm smilin to myself<br />I'm laughin out aloud, cause I'm the King of Spain"
King of Spain Part Two,,king-of-spain-part-two,king-of-spain-part-two,KING OF SPAIN PART TWO,K,Krukowski/Wareham/Yang,,Gold and stuff<br />Silk and grapes<br />She's my queen<br />Pull the drapes<br /><br />On my own<br />On my throne<br /><br />Ten guitars<br />Silver pants<br />I can't lose<br />Watch me dance
Knives From Bavaria,,knives-from-bavaria,knives-from-bavaria,KNIVES FROM BAVARIA,K,,,
Kuiper Belt,,kuiper-belt,kuiper-belt,KUIPER BELT,K,Luna,,
Laika,,laika,laika,LAIKA,L,,,
Landslide,,landslide,landslide,LANDSLIDE,L,Stevie Nicks,Fleetwood Mac,
The Last Goodbye,,the-last-goodbye,the-last-goodbye,LAST GOODBYE,L,Robbins,,
The Last Mistake,,the-last-mistake,the-last-mistake,LAST MISTAKE,L,,,
The Last Word,,the-last-word,the-last-word,LAST WORD,L,Dean Wareham,,
Leave The Planet,,leave-the-planet,leave-the-planet,LEAVE THE PLANET,L,Krukowski/Wareham/Yang,,"You said, &quot;It's time to get your clothes on&quot;<br />You said, &quot;It's time to leave the planet&quot;<br />You said, &quot;You needn't bring your wallet&quot;<br />You said, &quot;It's time to leave the planet&quot;<br /><br />You said that I could bring my guitar<br />And you said, &quot;It's time to leave the planet&quot;<br />You said that I could bring my guitar<br />And you said, &quot;It's time to leave the planet&quot;<br />"
Let Me Dream If I Want To,,let-me-dream-if-i-want-to,let-me-dream-if-i-want-to,LET ME DREAM IF I WANT TO,L,Mink DeVille,Mink DeVille,
Letter To Hermione,,letter-to-hermione,letter-to-hermione,LETTER TO HERMIONE,L,David Bowie,David Bowie,
Life Will Pass You By,,life-will-pass-you-by,life-will-pass-you-by,LIFE WILL PASS YOU BY,L,C. Darrow,Kaleidoscope,
Lilac Land,,lilac-land,lilac-land,LILAC LAND,L,Krukowski/Yang,,"The morning so sweet has a way of disappearing<br />That moment is lost to the day<br />The truth I believed has a way of interfering<br />With what I find I must say<br />My heart is now broken<br />And I fear we've run out of time<br />The new growth of spring comes alive in such profusion<br />I don't even mind when blossoms fall<br />Your voice on the phone, it fills me with confusion<br />I don't even want you to call<br />Cause my heart is now broken<br />And we, we've run out of time"
"Listen, the Snow Is Falling",,listen-the-snow-is-falling,listen-the-snow-is-falling,"LISTEN, THE SNOW IS FALLING",L,Yoko Ono,"Ono, Yoko","Listen, the Snow Is Falling over town<br />Listen, the Snow Is Falling everywhere<br />Between Empire State Building<br />And between Trafalgar Square<br />Listen, the Snow Is Falling over town<br /><br />Listen, the Snow Is Falling over town<br />Listen, the Snow Is Falling everywhere<br />Between your bed and mine<br />Between your head and my mind<br />Listen, the Snow Is Falling over town<br /><br />Between Tokyo and Paris<br />Between London and Dallas<br />Between your God and mine<br />Listen, the Snow Is Falling everywhere<br /><br />Snow dream<br />Snow fall<br />Snow fly<br />Listen<br />Listen"
Little Red Record Co.,,little-red-record-co,little-red-record-co,LITTLE RED RECORD CO.,L,,,
Little Wren,,little-wren,little-wren,LITTLE WREN,L,Lys Guillorn,,
Living Too Close to the Ground,,living-too-close-to-the-ground,living-too-close-to-the-ground,LIVING TOO CLOSE TO THE GROUND,L,Terry Slater,Everly Brothers,"Listen and hear each word<br />Stop or you'll miss the birds<br />They sing in the top of the trees<br />Sometimes when you look, you can't see<br />But up there you will know that its round<br />You're living too close to the ground<br />Come where the lights are grand<br />Leave now without a plan<br />You can get away if you choose<br />Confess it, you've nothing to lose<br />And I can show you where it's found<br />You're living too close to the ground<br />Rush so you'll pass it by<br />Don't let it catch your eye<br />Don't stop you might look a fool<br />Standing with love in your eyes<br />Trying hard to believe what you've found<br />You're living too close to the ground<br />I once held her close to me<br />Listened and heard her breathe<br />Just like I have done all my life<br />Her heart was the image of mine<br />Ah, but my wings just couldn't be found<br />I was living too close to the ground"
Lonesome Cowboy Bill,,lonesome-cowboy-bill,lonesome-cowboy-bill,LONESOME COWBOY BILL,L,Lou Reed,The Velvet Underground,"Lonesome Cowboy Bill<br />Rides the rodeo.<br />Lonesome Cowboy Bill,<br />You got to see him yodel &quot;Ay-hee-ho!&quot;<br />Lonesome Cowboy Bill<br />Rides the rodeo.<br />Ever since he was a little lad,<br />Loves the rodeo.<br />Bucking broncs, yeah, sipping wine,<br />You got to see him go,<br />And all the ten-gallon girls<br />Love to hear him yodel &quot;Ay-hee-ho!&quot;<br />Because<br />Lonesome Cowboy Bill<br />Rides the rodeo.<br />Lonesome Cowboy Bill,<br />You got to see him yodel &quot;Ay-hee-ho!&quot;<br />Oh, Lonesome Cowboy Bill,<br />You still ride the rodeo.<br />Up 'round the Colorado shore,<br />Down by the Ohio.<br />Sometimes even New Orleans,<br />Down by the Mardi Gras,<br />And all the ten-gallon girls<br />Love to hear him yodel &quot;Ay-hee-ho!&quot;<br />He's Lonesome Cowboy Bill, <br />He rides the rodeo.<br />Just a Lonesome Cowboy Bill,<br />You got to see him yodel &quot;Ay-hee-ho!&quot;<br />You got to see him in the rodeo<br />When he's ridin', goin' too darn fast.<br />You got to hear the people <br />Scream and shout<br />They call him,<br />Lonesome Cowboy Bill<br />He's a<br />Lonesome Cowboy Bill<br />He goes...<br />Lonesome Cowboy Bill<br />Rides the rodeo.<br />Lonesome Cowboy Bill,<br />You got to see him yodel &quot;Ay-hee-ho!&quot;<br />I said,<br />You got to see him yodel &quot;Ay-hee-ho!&quot;<br />Oh he's a Lonesome Cowboy Bill, <br />Lonesome Cowboy Bill<br />"
The Longest Bridges in The World,,the-longest-bridges-in-the-world,the-longest-bridges-in-the-world,LONGEST BRIDGES,L,Dean Wareham,,
Lost in Space,,lost-in-space,lost-in-space,LOST IN SPACE,L,,,It's true<br />You're lazy<br />You're tired<br />And crazy<br />And you know there's something more<br />But you can't give it a name<br />Someone's selling all your heroes<br />And they seem so tame<br /><br />You heard it all before<br />And said your case was tragic<br />You heard it all before<br />And now they say it's magic<br /><br />You need<br />Time off<br />For good<br />Behaviour<br />And you know there's something else<br />But you can't give a name<br />Someone's selling all your heroes<br />And it seems such a shame<br /><br />You heard it all before<br />You said your case was tragic<br />You heard it all before<br />And now they say it's magic<br /><br />You heard it all before<br />They said your case was tragic<br />You heard it all before<br />And now they say it's magic<br />
Love,,love,love-robyn-hitchcock,LOVE,L,Robyn Hitchcock,Robyn Hitchcock,"The sun is shining on the ground<br />I see that nothing makes a sound<br />I move, invisible as air<br />And choose the time to disappear<br /><br />Ah ah ah ah<br />I'm in love with you<br /><br />The spirits started long ago<br />They've found somewhere they couldn't go<br />They spend their time just looking out<br />For those who never share a doubt<br /><br />Ah ah ah ah<br />They're in love with you<br /><br />The seagull on the seeping sand<br />Can die but never understand<br />The oil that festers on our shore<br />Will cast a stain forevermore<br /><br />Ah ah ah ah<br />Who's in love with that?<br /><br />Gnomes are moving through the night<br />They sing and fiddle with delight<br />And we eat Weetabix and sing<br />About the joys that love can bring<br /><br />Ah ah ah ah<br />If they ever come<br />Ah ah ah ah<br />If they ever come<br /><br />The sun is shining very hard<br />It melts both margarine and lard<br />But me I only dream of you<br />I hope that you are dreaming too<br /><br />Ah ah ah ah<br />I'm in love with you<br />Ah ah ah ah<br />I'm in love with you<br />Ah ah ah ah<br />I'm in love with you<br />"
Love,The Jacks,love-the-jacks,love,LOVE,L,The Jacks,The Jacks,
Love Is Colder Than Death,,love-is-colder-than-death,love-is-colder-than-death,LOVE IS COLDER THAN DEATH,L,Dean Wareham,,
Love is Not a Roof Against the Rain,,love-is-not-a-roof-against-the-rain,love-is-not-a-roof-against-the-rain,LOVE IS NOT A ROOF,L,Dean Wareham,,
Lovedust,,lovedust,lovedust,LOVEDUST,L,,,
Lovin' You,,lovin-you,lovin-you,LOVIN' YOU,L,Riperton/Rudolph,"Riperton, Minnie",
Lower,,lower,lower,LOWER,L,,,
Luck or Magic,,luck-or-magic,luck-or-magic,LUCK OR MAGIC,L,Britta Phillips,Britta Phillips,
Magic Spoon,,magic-spoon,magic-spoon,MAGIC SPOON,M,,,
Making Me Smile,,making-me-smile,making-me-smile,MAKING ME SMILE,M,Jack Early,,
Malibran,,malibran,malibran,MALIBRAN,M,,,
Malibu Love Nest,,malibu-love-nest,malibu-love-nest,MALIBU LOVE NEST,M,,,"honey, bunny, come on<br />it's time to put the diamonds on<br />in the bathroom on the plane, on the bus and<br />on the train<br />I'll write your name<br />in Malibu<br /> <br />inside Italian magazines<br />in my wishes and my dreams<br />on the walls and on the streets,<br />in the sand and on the beach<br />I'll write your name<br />in Malibu<br /> <br />you will call me Robespierre<br />put the powder in your hair<br />moonman light, this crooked sky<br />there is something in the air"
Maracas Song,,maracas-song,maracas-song,MARACAS SONG,M,Krukowski/Wareham/Yang,,When I look at you<br />What a drag to be so mean<br />Had a dream<br />All the cops were dead<br /><br />When I went up to Times Square<br />Bought myself a pair of shoes<br />Bought myself a pair of shoes<br />Now I'm walking sideways too<br />Now the heat is in my face<br />And I have no room to move<br />I'm as scared as I can be<br />Try and let the daytime pass<br /><br />When I look at you<br />What a drag to be so mean<br />Had a dream<br />All the cops were dead<br /><br />When I went up to Times Square<br />Bought myself a pair of shoes<br />Bought myself a pair of shoes<br />Now I'm walking sideways too<br />Now the heat is in my face<br />And I have no room to move<br />I'm as scared as I can be<br />Try and let the daytime pass
Massachusetts,,massachusetts,massachusetts,MASSACHUSETTS,M,Gibb / Gibb / Gibb,Bee Gees,
Math Wiz,,math-wiz,math-wiz,MATH WIZ,M,,,"Where is he going?<br />What has he done?<br />What's to become of him<br />I wrote a speech to my dad<br />Twenty-one pages long<br />He twisted my jokes and swallowed their meanings<br /><br />I lay awake counting one, two and three,<br />It's alright, it's alright<br />I fell asleep <br />Counting eight, ten and four<br />it's okay<br /><br />A twelve year old math wiz<br />Came to me in my sleep<br />He knew all the answers<br />Which he kept to himself<br />He said I'd hate to be you<br />When the big day comes<br />The look on your face<br />Will be priceless"
Maverick Street Mothers,,maverick-street-mothers,,MAVERICK STREET MOTHERS,M,Naomi Yang,,
Me and My Babies,,me-and-my-babies,me-and-my-babies,ME AND MY BABIES,M,,,
Melt Away,,melt-away,melt-away,MELT AWAY,M,Krukowski/Wareham/Yang,,My head will turn to yellow<br />My eyes will turn to green<br />My voice will turn to mellow<br />But still I can't be seen<br /><br />Melt away<br />I wanna melt away<br />Melt away<br /><br />Can you tell the difference<br />Or do I sound the same?<br />I do just what I want to do<br />This is my favorite game<br /><br />Melt away<br />I wanna melt away<br />Melt away
Memories,,memories,memories,MEMORIES,M,Hugh Hopper,Soft Machine,
Memphis,,memphis,memphis,MEMPHIS,M,Black,Karen Black,
Mermaid Eyes,,mermaid-eyes,mermaid-eyes,MERMAID EYES,M,,,"Do I?<br />Oh do I?<br />Remain in your mind?<br /><br />Only to poison<br />The Love that we find<br /><br />Desires have misplaced<br />My wishes are washes<br />The Air is filled with vibrations<br />I'm crying for you<br />You're crying for me<br />>From station to station to station<br /><br />Silent, soft beauty<br />Where are you now?<br />The tide is turning<br />On your mermaid eyes<br /><br />Desires have misplaced<br />My wishes are washes<br />The Air is filled with vibrations<br />I'm crying for you<br />You're crying for me<br />From station to station to station"
Midnight,,midnight,midnight,MIDNIGHT,M,Krukowski/Yang,,
Million Dollar Doll,,million-dollar-doll,million-dollar-doll,MILLION DOLLAR DOLL,M,Britta Phillips,Britta Phillips,
The Mirror Phase,,the-mirror-phase,the-mirror-phase,MIRROR PHASE,M,,,
Miss Morse Update,,miss-morse-update,miss-morse-update,MISS MORSE UPDATE,M,Tom Rapp,Pearls Before Swine,
Mistress America,,mistress-america,mistress-america,MISTRESS AMERICA,M,Wareham/Phillips,,
Mom's,,moms,mom-s,MOM'S,M,Wareham/Phillips,,
Moon Palace,,moon-palace,moon-palace,MOON PALACE,M,,,seventeen dreams for you<br />they'll all be gone tomorrow<br />pull me a face<br />and say something witchy<br />it's time to get out of your bed<br /><br />some people talk like babies<br />others say nothin' at all<br />give me a slug<br />from the wonderful jug<br />it's time to get out of your head<br /><br />well we're travelin' light<br />gonna speed through the night<br />only now you recall<br />it means nothing at all<br />you were stuck in a dream<br />and you wanted to scream<br />but it's nothing at all<br />no it's nothin'<br /><br />don't wanna go to class<br />said they could kiss you goodbye<br />you've got no choise<br />feel like christopher boyce<br />time to get out of your bed<br /><br />words you don't understand<br />are all makin' sense tonight<br />it's hard to think straight<br />when you're feelin' so great<br />only wanna get out of your head<br /><br />well we're travelin' light<br />gonna speed through the night<br />only now you recall<br />it means nothing at all<br />you were stuck in a dream<br />and you wanted to scream<br />but it's nothing at all<br />no it's nothing at all<br /><br />well we're travelin' light<br />gonna speed through the night<br />but it's nothing at all<br />no it's nothing at all
Moonshot,,moonshot,moonshot,MOONSHOT,M,Buffy Saint-Marie,Buffy Saint-Marie,"off into outer space you go my friends<br />we wish you bon voyage<br />and when you get there we will welcome you again<br />and still you'll wonder at it all<br />see all the wonders that you leave behind<br />the wonders humble people own<br />I know a boy from a tribe so primitive<br />he can call me up without no telephone<br />see all the wonders that you leave behind<br />enshrined in some great hourglass<br />the noble tongues, the noble languages<br />entombed in some great english class<br />off into outer space you go my friends<br />we wish you bon voyage<br />and when you get there we will welcome you again<br />and still you'll wonder at it all<br /><br />an anthropologist he wrote a book<br />he called it &quot;myths of heaven&quot;<br />he's disappeared, his wife is all distraught<br />an angel came and got him<br />his hair was light, his eyes were love, his words were true,<br />his eys were lapis lazuli<br />he spoke in a language oh so primitive<br />that he made sense to me<br />off into outer space you go my friends<br />we wish you bon voyage<br />and when you get there we will welcome you again<br />and still you'll wonder at it all<br />"
Most Of The Time,,most-of-the-time,most-of-the-time,MOST OF THE TIME,M,Bob Dylan,Bob Dylan,
Motel Bambi,,motel-bambi,motel-bambi,MOTEL BAMBI,M,,,"Dog day romance, key lime pie<br />Valium sunset, hazy sky<br />Motel bambi<br />Where has all the sunshine gone?<br /> <br />Mystic rattlers, 8 eyed spy<br />Hong kong garden, spanish fly<br />Motel Bambi<br />Where has all the sunshine gone?<br /> <br />We don't belong here<br />We can't compete<br />We don't belong, anymore<br /> <br />I like flowers, I like sex<br />Cover all the mirrors<br />I think I'm gonna cry<br />It's Tuesday morning<br />Where have all the good times gone?<br /> <br />Taxi drivers, yellow hands<br />Cosmic dancers, on golden sands<br />Motel Bambi<br />Tell me where the good times have gone<br /> <br />We don't belong<br />We can't complete<br />We don't belong, anymore"
Mountains Of The Moon,,mountains-of-the-moon,mountains-of-the-moon,MOUNTAINS OF THE MOON,M,Marty Robbins,Marty Robbins,
The Moviegoer,,the-moviegoer,the-moviegoer,MOVIEGOER,M,,,in hollywood i hear they have a discoteque for dogs<br />and summer camp where you can send your cabbage patch dolls<br />if you would point up at the skyline<br />others will look too<br />you could walk on down the street smilin' to yourself<br /><br />it's hard to get things done<br />with everybody playin' dumb<br />it's hard to get along<br />to get along with you<br /><br />my nextdoor neighbor paints all night<br />and sleeps the day away<br />he visits funerals when he can<br />and crashes parties too<br />my upstairs neighbor drinks too much<br />he's stinking up the stairwell<br />he cleans his gun<br />it's down the hatch<br />heres to all of us<br /><br />it's hard to get things done<br />with everybody playin' dumb<br />it's hard to get along<br />to get along with you<br /><br />You go to movies all day long<br />and sitting eating popcorn<br />the pictures splash into your eyes<br />and you don't understand<br />your expression never changes<br />as if that could protect you<br />your sitting in the darkness now<br />waiting for the end<br /><br />it's hard to get things done<br />with everybody playin' dumb<br />it's hard to get along<br />to get along with you
Mr Jealousy Luna Suite,,mr-jealousy-luna-suite,mr-jealousy-luna-suite,MR JEALOUSY LUNA SUITE,M,,,
My Eyes Are Blue,,my-eyes-are-blue,my-eyes-are-blue,MY EYES ARE BLUE,M,Dean Wareham,,
My Flower (Watashi No Hana),,my-flower-watashi-no-hana,my-flower-watashi-no-hana,MY FLOWER,M,K. Tomokawa,,
"My Rifle, My Pony and Me",,my-rifle-my-pony-and-me,my-rifle-my-pony-and-me,"MY RIFLE, MY PONY AND ME",M,Webster / Levene / Tiomkin,,
Mystic Rattlers,,mystic-rattlers,mystic-rattlers,MYSTIC RATTLERS,M,,,
The Navigator,,the-navigator,the-navigator,NAVIGATOR,N,,,
Neon Lights,,neon-lights,neon-lights,NEON LIGHTS,N,Hutter/Bartos/Schneider,Kraftwerk,
Nettles and Ivy,,nettles-and-ivy,nettles-and-ivy,NETTLES AND,N,Krukowski/Yang,,
Never Be A Punching Bag for Nobody,,never-be-a-punching-bag-for-nobody,,NEVER BE A PUNCHING BAG FOR NOBODY,N,Naomi Yang,,
New Haven Comet,,new-haven-comet,new-haven-comet,NEW HAVEN COMET,N,,,I'm late for a date on the way to new haven<br />Our clocks run too fast and our heartbeats are haywire<br /><br />Inside those houses people are livin'<br />Toughened by love that no one will give<br /><br />I'm on your side<br />I'm on your side<br />I'm on your side<br /><br />Rattlin' around in my mini cathedral<br />So many problems and our plans are approved<br /><br />I'm late for a date on the way to new haven<br />Our clocks run too fast and our heartbeats are haywire<br /><br />I'm on your side<br />I'm on your side<br />I'm on your side
The New Historicism,,the-new-historicism,the-new-historicism,NEW HISTORICISM,N,,,
The New World,,the-new-world,the-new-world,NEW WORLD,N,Krukowski/Yang/Masaki Batoh,,
New York City,,new-york-city,new-york-city,NEW YORK CITY,N,,,
Night Nurse,,night-nurse,night-nurse,NIGHT NURSE,N,,,"You are the treacle in my pie<br />You are the splinter in my eye<br />You make the ice melt, the butter run<br />You are the ink stain, you are the one<br /><br />Sleep together the milkyway<br />Sleep forever and a day<br />Lovely jewels in joy designed<br />La la la la...<br /><br />I am the local, I am express<br />I am a tourist in a summer dress<br />I am the night nurse, I am the most<br />I am the visitor, you are the host<br /><br />Chorus again<br /><br />My wings are clipped<br />My drinks are sipped<br />My lips are lipped<br />My lid is flipped<br /><br />I am the night nurse<br />I am the most<br />I am the visitor<br />You are the host<br /><br />Chorus"
Nineteen Sixty-Nine,,nineteen-sixty-nine,nineteen-sixty-nine,NINETEEN SIXTY-NINE,N,,,
1995,,1995,1995,NINETEEN-NINETY-FIVE,N,,,"Well it's painful to observe<br />Looking at your curls<br />Sorry to be mean<br />But it's sad to be a churl<br />Talking to your friends is like talking to a shoe<br />His hair is stupid blonde<br />And his eyes are stupid blue<br /><br />Searching for a crime<br />Searching for a crime<br />Something slipped my mind<br />And I am searching for a crime<br /><br />In 1995 I told 1,000 lies<br />Let me tell you about the agony of love<br /><br />Follow me<br />To the top<br />All the way<br />Never stop<br />I know I lost my cool<br />It's no where to be found<br />My Violent obsession<br />Stood the test of time<br /><br />Searching for a crime<br />Searching for a crime<br />Something slipped my mind<br />And I am searching for a crime<br /><br />In 1995 I told 1,000 lies<br />Let me tell you about the agony of love<br />"
No More Sad Refrains,,no-more-sad-refrains,no-more-sad-refrains,NO MORE SAD REFRAINS,N,Sandy Denny,Sandy Denny,Here comes the morning how it pleases<br />It always brings me something new<br />Its golden light will wash away the dust of yesterday<br />If I try it may let me forget you<br />And when these winter days are over<br />I mean to set myself upon my feet<br />I see me as something that I have never been<br />And I'll pick up the pieces that will make the girl complete<br />I'll be smiling all the time at everybody<br />My friends will tell me I'm just not the same<br />I won't linger over any tragedies that were<br />And I won't be singing any more sad refrains
No Regrets,,no-regrets,no-regrets,NO REGRETS,N,Tom Rush,"Rush, Tom","i know your leavin's too long over due<br />for far too long i've had nothing new to show to you<br />goodbye dry eyes i watched your plane fade off west of the moon<br />it felt so strange to walk away alone<br /><br />no regrets<br />no tears goodbye<br />don't want you back<br />we'd only cry again<br />say goodbye again<br /><br />the hours that were yours echo like empty rooms<br />thoughts we used to share i now keep alone<br />i woke last night and spoke to you<br />not thinkin' you were gone<br />it felt so strange to lie awake alone<br /><br />no regrets<br />no tears goodbye<br />don't want you back<br />we'd only cry again<br />say goodbye again<br /><br />our freinds have tried to turn my nights to day<br />strange faces in your place can't keep the ghosts away<br />just beyond the darkest hour, just behind the door<br />it feels so strange to lead my life alone<br /><br />no regrets<br />no tears goodbye<br />don't want you back<br />we'd only cry again<br />say goodbye again"
